ID_amine,ROMol_amine,ID_carboxyl,ROMol_carboxyl,product,amine,carboxyl
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-25612,<rdkit.Chem.rdchem.Mol object at 0x16a245cb0>,Cc1cc(CNC(=O)CNC(=O)Nc2ccccc2)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)CNC(=O)Nc1ccccc1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-312690,<rdkit.Chem.rdchem.Mol object at 0x16a245c40>,COc1ccc(/C=C/C(=O)NCc2cc(C)nn2C)cc1,Cc1cc(CN)n(C)n1,COc1ccc(/C=C/C(=O)O)cc1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-17292,<rdkit.Chem.rdchem.Mol object at 0x16a245d90>,Cc1cc(CNC(=O)/C=C/c2ccc(O)cc2)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)/C=C/c1ccc(O)cc1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-1866018,<rdkit.Chem.rdchem.Mol object at 0x16a245d20>,Cc1cc(CNC(=O)c2cc(-c3ccncc3)no2)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)c1cc(-c2ccncc2)no1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-33428,<rdkit.Chem.rdchem.Mol object at 0x16a245e70>,Cc1cc(CNC(=O)CNC(=O)c2cnoc2C)n(C)n1,Cc1cc(CN)n(C)n1,Cc1oncc1C(=O)NCC(=O)O
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-15389,<rdkit.Chem.rdchem.Mol object at 0x16a245e00>,Cc1cc(CNC(=O)CCc2cc3ccccc3o2)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)CCc1cc2ccccc2o1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-743610,<rdkit.Chem.rdchem.Mol object at 0x16a245f50>,COc1cccc(C#CC(=O)NCc2cc(C)nn2C)c1,Cc1cc(CN)n(C)n1,COc1cccc(C#CC(=O)O)c1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-151996,<rdkit.Chem.rdchem.Mol object at 0x16a245ee0>,Cc1cc(CNC(=O)c2cc3ccc(O)cc3o2)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)c1cc2ccc(O)cc2o1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-81791,<rdkit.Chem.rdchem.Mol object at 0x16a246030>,Cc1cc(CNC(=O)CCc2cc(Cl)cs2)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)CCc1cc(Cl)cs1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-317365,<rdkit.Chem.rdchem.Mol object at 0x16a245fc0>,Cc1cc(CNC(=O)/C=C\Sc2ccccc2)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)/C=C\Sc1ccccc1
